OTU_ID	Taxon	TC10-1	TC10-2	TC10-3	TC50-1	TC50-2	TC50-3	TC25-1	TC25-2	TC25-3	CK-1	CK-2	CK-3
OTU82	r__Root;k__Bacteria;p__Dictyoglomi;c__Dictyoglomia	6.667827363	6.562127121	6.61736529	5.892904276	7.04629013	8.841496333	7.805368719	5.996393339	5.289910685	7.788807434	7.616251908	8.531252611
OTU83	r__Root;k__Bacteria;p__Elusimicrobia	5.139783592	5.741861231	6.144696341	5.710178562	5.800299802	5.237625545	5.429821718	4.827285204	4.510776553	4.368325863	4.989958147	5.06160442
OTU84	r__Root;k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	8.566305987	12.30398835	14.60976752	12.56239284	12.03025144	10.81161236	11.6656326	9.239725585	9.431623701	12.77529262	12.69375318	13.47039886
OTU85	r__Root;k__Bacteria;p__Elusimicrobia;c__Endomicrobia	17.13261197	16.4053178	16.11371418	15.98849997	16.97124757	15.37651536	15.48347599	14.89670043	13.12225906	9.066336696	12.25603755	11.83762324
OTU86	r__Root;k__Bacteria;p__Fibrobacteres	4.445218242	4.238040432	3.824321499	5.527452848	3.222388779	4.324644945	3.351218091	3.582750737	3.239557706	3.750166542	4.289613144	4.041119658
OTU87	r__Root;k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	22.22609121	21.19020216	19.12160749	27.63726424	16.1119439	21.62322473	16.75609046	17.91375369	16.19778853	18.75083271	21.44806572	20.20559829
OTU88	r__Root;k__Bacteria;p__Firmicutes	5869.123514	4996.877521	5425.852809	3978.212882	4984.090207	4810.879192	4658.362829	4513.737945	4045.633476	5342.874636	4682.506691	4411.637265
OTU89	r__Root;k__Bacteria;p__Firmicutes;c__Bacilli	21601.35283	17540.97593	17991.19822	13925.61803	18145.82976	17224.43615	17244.73199	16352.61719	13843.69626	18642.36636	15830.02942	15385.39974
OTU90	r__Root;k__Bacteria;p__Firmicutes;c__Clostridia	6103.284646	5826.576469	7398.128454	4641.278817	5296.275232	5360.349358	4698.153241	4930.279859	4975.345531	6550.098578	6127.187117	5232.270292
OTU91	r__Root;k__Bacteria;p__Firmicutes;c__Erysipelotrichia	160.6298133	156.8530663	163.0707875	148.4189612	137.5315531	147.182083	119.9227031	107.5956616	121.2578751	121.3240692	103.6510605	110.702187
OTU92	r__Root;k__Bacteria;p__Firmicutes;c__Limnochordia	310.007668	293.4729073	320.5554874	203.0539497	283.3553866	274.1344379	261.3101702	258.9008822	276.7976521	321.2367934	283.2020106	285.7357334
OTU93	r__Root;k__Bacteria;p__Firmicutes;c__Negativicutes	785.2292807	754.4167673	824.3346476	596.8735448	678.2913554	680.2185983	624.2598156	606.8425486	642.2115599	696.7067645	708.1363412	675.9691064
OTU94	r__Root;k__Bacteria;p__Firmicutes;c__Tissierellia	142.8952447	151.0200644	174.0710831	140.1049412	156.1354776	132.7185482	119.8378621	117.929069	145.4930474	148.2758156	132.8029212	149.9296212
OTU95	r__Root;k__Bacteria;p__Fusobacteria	15.74348127	13.8989498	16.11371418	16.94780997	18.475029	14.12717349	13.95633863	14.33100295	11.7690261	14.54734933	16.41433601	14.12350911
OTU96	r__Root;k__Bacteria;p__Fusobacteria;c__Fusobacteriia	78.16175408	68.72005346	79.83808252	84.00814701	91.68770206	70.05924812	69.10296545	71.20245676	58.31203871	72.2010086	81.41510661	70.12771285
OTU97	r__Root;k__Bacteria;p__Gemmatimonadetes	2269.422825	2123.212686	2335.113519	1559.381243	1939.663219	2020.714377	1794.598498	1839.308802	1777.204955	2018.455023	1979.568923	1859.11914
OTU98	r__Root;k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	11347.02152	10615.88115	11675.52463	7796.814853	9698.27313	10103.57188	8972.90765	9196.430871	8885.942759	10092.27511	9897.800842	9295.514059
OTU99	r__Root;k__Bacteria;p__Ignavibacteriae	11.48348046	11.89385541	14.65273743	15.0748714	14.90891875	12.97393484	10.13849524	10.48426005	13.081252	15.33035114	10.63648973	11.34779055
OTU100	r__Root;k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria	57.41740229	59.46927703	73.13477743	75.37435702	74.41569821	64.86967418	50.69247619	52.30816076	65.40626001	76.52812384	53.18244867	56.6164946
OTU101	r__Root;k__Bacteria;p__Kiritimatiellaeota	92.97914822	85.17094159	92.55717425	68.56782418	75.7476189	75.58518332	67.06678231	71.01389093	72.25443896	76.73417694	72.44193626	70.20935163
OTU102	r__Root;k__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae	464.8957411	425.8547079	462.7858713	342.8391209	378.7380945	377.9259166	335.3339116	355.0694546	361.2721948	383.6708847	362.2096813	351.0467582
OTU103	r__Root;k__Bacteria;p__Nitrospirae	478.6018307	512.3016187	475.934662	364.4007551	469.6953884	377.5895553	467.8130774	363.8566222	388.4598753	343.9026351	366.1928935	362.1904518
OTU104	r__Root;k__Bacteria;p__Nitrospirae;c__Nitrospira	2358.836538	2531.79624	2347.574791	1795.417184	2325.103882	1861.855752	2316.667372	1799.559126	1917.367084	1691.984481	1805.445646	1783.889003
OTU105	r__Root;k__Bacteria;p__Nitrospirae;c__Thermodesulfovibrionia	34.03370216	29.6207127	32.01257884	26.49522853	23.20119921	25.94786967	22.27075314	19.61084614	24.80927104	27.40506319	25.38750636	26.94079772
OTU106	r__Root;k__Bacteria;p__Planctomycetes	5908.158087	5255.990402	5781.686588	4850.728167	4851.49965	4752.64064	4745.791443	4384.721205	4550.84045	5153.800305	5058.066698	4903.837476
OTU107	r__Root;k__Bacteria;p__Planctomycetes;c__Candidatus_Brocadiae	35.19131108	37.8233716	39.96201117	26.26682139	31.79423595	29.79199851	34.14848815	32.43332246	29.73011819	48.62853319	38.30011736	34.90057886
OTU108	r__Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae	2019.055169	1742.746024	1986.971353	1506.893282	1685.352297	1765.223964	1589.877251	1497.627521	1463.582963	1747.041871	1721.79819	1692.739304
OTU109	r__Root;k__Bacteria;p__Planctomycetes;c__Planctomycetia	27483.67308	24496.51168	26878.70653	22717.69416	22537.81677	21965.25609	22102.04688	20391.54638	21258.46975	23970.73485	23527.87152	22789.01669
OTU110	r__Root;k__Bacteria;p__Proteobacteria	199168.559	188483.7039	199705.8538	182853.1652	178613.4439	205089.4152	173756.3736	160107.5112	165169.8748	171749.0146	178023.9792	177523.6109
OTU111	r__Root;k__Bacteria;p__Proteobacteria;c__Acidithiobacillia	307.1367979	291.05768	323.004772	262.576851	285.9762629	302.1004752	249.9839014	256.9397976	260.0667718	281.8394394	281.3198334	273.8572908
OTU112	r__Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	390173.3357	361606.653	412752.0153	353001.4571	335626.8721	348803.5173	343639.9268	301558.9982	322257.7503	375153.6383	373915.3352	367417.8645
OTU113	r__Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	329269.6784	318234.775	313223.6615	325757.9668	290675.322	372050.3098	300090.8901	268102.6306	271798.7685	250289.7004	272445.7619	281608.2807
OTU114	r__Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	62877.61203	57781.94453	61076.30501	45119.09011	69052.69804	52577.97611	48779.65181	50481.07103	48875.24812	52858.63863	50359.92699	50842.71428
